Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABHD13,507.99145143235,-0.0766402749239812,0.156523684699546,-0.489640114664407,0.62438858505218,0.819953174391536
IRS2,474.02848437678,0.180223589254499,0.126554588506432,1.42407787328343,0.154423930792805,0.394911031445547
COL4A1,1807.91626542601,0.0290938708274784,0.0885194585621092,0.328672037765175,0.742403591778209,0.886832270456501
COL4A2,2866.37994463371,-0.0913174603768901,0.0692982463424528,-1.31774561690385,0.187588818457032,0.438951549399974
RAB20,120.714968715698,-0.167790280842378,0.18927044242121,-0.886510744604118,0.375342366854106,0.63527423361722
AL139385.1,5.93009919033328,0.233210917382319,0.908902430025932,0.256585206154268,0.797498996530666,
NAXD,821.209618948622,-0.154416712177447,0.0985950875482412,-1.56617044537734,0.117308719719134,0.33559663979051
CARS2,1796.20077715698,-0.0768440803358047,0.0809936386261814,-0.94876686168492,0.342739199528391,0.609524365091894
ING1,635.932604558119,0.266923203274728,0.121073868763587,2.2046309909856,0.02747999922332,0.143664756372303
LINC00346,21.4825004842072,0.880525290585343,0.482231580813889,1.82593866851116,0.067859500716343,
ANKRD10,1082.64503806004,-0.130681175376582,0.10097153098689,-1.29423783218211,0.195583282700061,0.449429656068584
ANKRD10-IT1,97.9885292923523,-0.0442715494305807,0.261532400191743,-0.169277494482989,0.865578377312046,0.941140138969837
AL442128.2,14.2485865610699,0.628785138873242,0.621658073794526,1.01146460631519,0.311794112929009,
ARHGEF7-AS2,3.24314422555692,-0.108671036610927,1.10579202260545,-0.0982743901107891,0.921714413457432,
ARHGEF7,1852.24139304036,0.0228681345035723,0.0897653567361684,0.254754566071459,0.798912668636305,0.913027592761779
SOX1-OT,22.1821447377627,0.858705730855203,0.361169649470897,2.37756891287289,0.0174271862702854,
LINC00404,6.01961186234593,-0.197654085591368,0.732711422927841,-0.269757068617222,0.787347152995943,
TUBGCP3,1278.66871515219,-0.00952295345310388,0.0854711398927379,-0.111417180875963,0.911285536515947,0.961454562465748
AL139384.2,23.7254155493512,0.317842552925655,0.348095542647398,0.913089982446607,0.361195218481368,
AL139384.1,14.7707747144451,0.232115113493795,0.494380613039113,0.469506908992467,0.638707347567049,
ATP11A,1262.6831386332,-0.0600642657924012,0.127717725787464,-0.470289189868247,0.638148419719147,0.828613063224574
MCF2L,332.089095070962,0.0014389934289195,0.118874488522814,0.0121051492780415,0.990341724164073,0.996576165481756
AL356740.1,4.92815706262277,1.51245059098322,1.06961991165841,1.41400751285399,0.157359696615037,
MCF2L-AS1,32.8050047892904,0.451803482584803,0.303587410263485,1.48821547702746,0.136694076913282,
F10,4.91289502025756,-0.159687474418896,0.839928956502911,-0.190120215742726,0.849214929114807,
AL137002.2,14.3105743726404,0.406778379749593,0.508101003269453,0.800585665314801,0.423371552077142,
PROZ,11.8659940495684,0.0234400480437513,0.514185845647448,0.0455867236373188,0.963639651174165,
PCID2,1158.83912843423,-0.188963496593287,0.0972934406618202,-1.94220181039851,0.0521126740218798,0.212593730163718
CUL4A,2038.60977531984,-0.254425212432776,0.0747133809518043,-3.40535000814512,0.000660793020049645,0.0132256354456682
LAMP1,3284.02484658036,-0.231520237044839,0.0784680632013526,-2.95050275996679,0.00317257209977705,0.0358604014285576
GRTP1,418.899329058591,-0.182835580002243,0.120282807676532,-1.52004749085946,0.128499040225458,0.352441113774671
AL136221.1,7.60171855731118,0.0149394329738123,0.646991577364127,0.023090614308576,0.981577992388441,
ADPRHL1,185.390787262401,0.126616320492376,0.153344368141914,0.825699189520916,0.408974752153177,0.666517513446457
DCUN1D2,552.932139023633,-0.10153307364808,0.103136686237199,-0.984451579281585,0.324893527993552,0.59394803861002
TMCO3,838.087334384817,0.00625097305445704,0.0920026906667956,0.0679433721900164,0.945830712486848,0.977319828283419
AL442125.1,48.7665492195673,0.133126479414154,0.310778995880464,0.428363825029406,0.668386257621675,0.845876537800137
TFDP1,5466.92360983957,-0.296992672623152,0.0837621689396605,-3.54566597764554,0.000391622271724309,0.00924360106921232
TMEM255B,14.4853262966727,-0.0777719245124517,0.474265147886554,-0.163984060095968,0.869743692141222,
GAS6-AS1,18.1847810978584,1.1920481255499,0.412816127287228,2.88760066953611,0.00388192361801481,
GAS6,383.090458990289,0.117148485612628,0.145175229093754,0.806945415853101,0.419697931600208,0.676657890199097
