Gene,logFC,logCPM,F,PValue,FDR
PLEKHJ1,0.968027722220123,5.77926624573464,71.0036715142446,4.0608638901107e-08,3.11568892971193e-06
RPL39,-0.851501805651409,8.19884884241237,70.9661878342857,4.07822134898006e-08,3.11568892971193e-06
PIGQ,0.977425723279286,5.873110816769,70.9269640836393,4.09654786589538e-08,3.11590288337223e-06
RTEL1,0.737747274261948,5.51725840412356,70.8861398092919,4.1156902403161e-08,3.11673279339026e-06
DNAJC7,-0.583015009171765,7.61231516909394,70.8158430062657,4.14882018482273e-08,3.12810171664407e-06
CWC27,-0.787261951045302,5.95258324561287,70.6416708878196,4.23229537238503e-08,3.17716573476521e-06
CLN6,0.790651632464498,6.29477267265297,70.4363634784241,4.33306058504498e-08,3.23872831434574e-06
RPRML,1.47987119179902,3.06418970559249,70.2714008064533,4.41735722051237e-08,3.28750386936925e-06
RBX1,0.822102780407396,5.90199203475629,70.1997711695955,4.45246034238276e-08,3.29793035030243e-06
EIF2S2,-0.675610486564261,7.94813524878295,70.1664123793457,4.46956852757309e-08,3.29793035030243e-06
PHLDA3,0.797189735422086,4.92027167122257,70.0770254782976,4.51590984109368e-08,3.31794465175845e-06
GPAA1,1.05004329417129,5.99687464292506,69.9225344296123,4.59700333003567e-08,3.3632143854405e-06
PKMYT1,0.834577299673988,5.8301686955618,69.7894451165056,4.66820447723185e-08,3.40089529552258e-06
SLC25A29,0.877799067177668,4.6743187724541,69.4372743160219,4.86260955445557e-08,3.52763935156428e-06
OLA1,-0.66138206980594,7.88407411149954,69.3472757047694,4.91354105568775e-08,3.54273112809874e-06
HMGN3,-0.809754135856947,6.70774574168352,69.3281889775872,4.92444961626143e-08,3.54273112809874e-06
CYB561D2,1.31306563605022,3.7411171688125,69.0539766210304,5.08474011540221e-08,3.61948073747559e-06
HNRNPDL,-0.542635628253444,9.37528394626415,69.0475809927975,5.08788615501731e-08,3.61948073747559e-06
SPPL2B,0.806308732462742,5.52478476698197,69.0373328094632,5.09402188814183e-08,3.61948073747559e-06
PEX16,1.08369106588915,3.89855053775489,68.933061029028,5.15679960272995e-08,3.64906975166948e-06
ADCY6,0.650877681503608,5.18840136547498,68.6997468902589,5.29889230011258e-08,3.72135084002264e-06
AEN,0.594517486688208,6.99277678560446,68.6613794610949,5.32264501720683e-08,3.72135084002264e-06
CCDC22,1.02891047066407,4.82366599367693,68.63740047297,5.3377431954605e-08,3.72135084002264e-06
ZFP36L1,-0.887956011373305,5.46269017764702,68.6253523259905,5.34515816243262e-08,3.72135084002264e-06
TAF3,-0.721658538752858,5.32880470422773,68.4007290713862,5.48781026482715e-08,3.80532257158657e-06
FRA10AC1,-0.844361543897317,6.03293271630238,68.2623186050599,5.57777089151507e-08,3.85223168851596e-06
FAAP100,1.0693992234671,5.72682435787815,68.1190140754447,5.67268411185453e-08,3.89616798826719e-06
BOLA1,0.928937179941099,4.30414271879174,68.0986545924925,5.68651878282945e-08,3.89616798826719e-06
SLC12A9,1.07798108758059,4.7386123978669,67.9694890335205,5.77370091185799e-08,3.93839079515979e-06
COQ8A,0.653900723312539,7.07224947443962,67.9140193465406,5.81142449843868e-08,3.93839079515979e-06
HOXC6,-0.699861692665806,5.37177813747964,67.9065459015717,5.81657391848573e-08,3.93839079515979e-06
RAP1B,-0.795817630474797,5.86095158907845,67.8440555762532,5.85965184209113e-08,3.9459329746972e-06
GORASP2,-0.610088786895193,7.45298963450842,67.8028761110335,5.88822756451132e-08,3.9459329746972e-06
TCEAL8,-0.85720299139138,6.84965336484179,67.7402005157089,5.93203196013557e-08,3.9459329746972e-06
CIAO3,0.866832133665063,4.67131280875671,67.7330599672664,5.93720761987154e-08,3.9459329746972e-06
CHPF2,0.971170244655313,5.21423333776214,67.7261971091423,5.94198177586744e-08,3.9459329746972e-06
FASTK,0.858395535055501,6.58451390072674,67.4950782201589,6.10681332593415e-08,4.01436326033929e-06
ADAM15,0.850725244609175,6.30226522698821,67.4633657405989,6.1298386476745e-08,4.01436326033929e-06
TMC6,0.87034532797179,3.77208676334987,67.4436958347559,6.14476600449918e-08,4.01436326033929e-06
RNF123,0.852868053932175,5.70569229572554,67.4373851613722,6.148814675152e-08,4.01436326033929e-06
APH1A,0.766539332381742,7.1638978358616,67.420255381666,6.16127802612019e-08,4.01436326033929e-06
TCERG1,-0.676989248517964,7.96797733199241,67.35880928278,6.2064054792903e-08,4.02856379719648e-06
