Genes,CTRL_IgG_1,CTRL_IgG_2,TERT_IR_1,TERT_IR_2
SIPA1L1,1.440748172,2.345727777,3.5387756,2.626921925
PRDX1,4.233521353,4.146155338,5.378758064,5.207146164
DAP3,1.69025659,1.294860855,5.006268402,4.725205294
PPP1R9A,1.270857187,0.942281356,3.618917006,3.576446684
SRPK1,1.604230122,1.169033082,4.211515721,4.148888039
NUMA1,1.374694992,0.756311488,4.090752927,3.759232006
PABPC1,3.558891683,3.940938343,6.11207962,5.970932382
RAN,4.000684043,4.128542566,5.566462416,5.164448876
PAWR,1.564322145,2.79884451,4.285125879,4.385873707
PLEKHG3,1.849075078,2.204772518,4.000179647,3.482150265
RPL30,4.214954487,3.219274319,4.442829847,4.714637933
UTP25,1.041731832,0.67394632,1.710844526,1.842367844
RBM28,1.501218627,1.596893266,4.377777352,4.074976206
SAFB2,1.1964759,1.589889223,1.555388863,2.499783429
RPL27,4.944001147,4.811602277,6.139779662,5.988889512
SIPA1L3,0.968338615,2.227408642,3.357780076,3.223925154
DHX36,1.429880898,1.370388017,4.728041023,4.615334372
PNN,1.650782136,1.988265654,4.535761246,4.498932214
EIF3D,1.539035679,1.13181081,4.469710667,4.408390183
PRPF19,3.415874187,3.079420566,5.315703952,5.198013541
PGAM5,3.610047308,3.783472624,5.242182821,5.152984687
ZNF326,1.477311835,1.409159961,4.543524757,4.576290685
ATAD3A,2.826496115,3.410813466,5.266089117,5.1386491
SRPK2,1.467426445,1.887103109,4.232313914,4.044226879
FTSJ3,2.043315497,1.656233771,3.405560742,2.857391578
XRN2,1.813803018,2.470309671,4.478352093,4.372885975
TOLLIP,1.457585768,2.966008009,4.333245366,4.363668681
SRSF7,1.185153798,3.651464932,5.981760557,5.85493072
LRRFIP2,2.98610099,3.114763449,4.539900149,4.324295706
MRPL15,1.806887573,2.100236775,4.300538486,4.717803556
RSL1D1,1.280379343,1.331502288,4.938293216,4.957183802
ACIN1,1.126162907,1.160526719,4.09526136,3.643144525
