Genes,293GFPnoIR1_S1,293GFPnoIR2_S2,293GFPnoIR3_S3,293HATertnoIR1_S4,293HATertnoIR2_S5,293HATertnoIR3_S6,293GFPIR1_S7,293GFPIR2_S8,293GFPIR3_S9,293HATertIR1_S10,293HATertIR2_S11,293HATertIR3_S12
AC026336.2,0,0,0,0,0,0,0,0,0,0,0,0
PIWIL1,0,0,0,0,0,0,0,0,0,0,0,0
RIMBP2,1,0,2,2,2,2,2,0,0,1,0,0
AC063926.1,0,0,0,0,0,0,0,0,0,0,0,0
AC095350.1,0,0,0,0,0,0,0,0,0,0,0,0
STX2,1202,1255,2309,1658,2761,1773,1888,2184,1229,1211,623,448
AC073912.1,1,2,1,0,3,0,2,1,3,1,2,4
AC073912.2,1,0,4,2,3,2,2,2,4,1,2,2
RAN,24321,29159,45657,38152,57331,34410,31848,41497,19860,26354,11334,9195
ADGRD1,3,2,6,3,13,6,8,5,4,0,2,6
AC073862.1,0,0,0,0,0,0,0,0,0,0,0,0
ADGRD1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
AC078925.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01257,0,1,0,0,2,0,0,0,0,0,0,2
LINC02415,0,0,0,0,0,0,0,0,0,0,0,0
AC092850.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02370,0,0,0,0,0,0,0,0,0,0,0,0
AC140118.2,0,0,0,0,0,0,0,0,0,0,0,0
AC140118.1,0,0,0,0,0,0,0,0,0,0,0,0
AC073578.2,0,0,0,0,0,0,0,0,0,0,0,0
AC073578.5,0,0,0,0,0,0,0,0,0,0,0,0
AC073578.1,0,0,0,0,0,0,0,0,0,0,0,0
AC117500.3,0,0,0,0,0,0,0,0,0,0,0,0
LINC02414,0,0,0,0,0,0,0,0,0,0,0,0
AC117500.6,0,0,0,0,0,0,0,0,0,0,0,0
AC117500.1,0,0,0,0,0,0,0,0,0,0,0,0
SFSWAP,2434,2732,4248,3838,6070,3380,4050,5194,2774,3351,1918,1230
AC117500.2,3,3,8,1,8,6,11,0,0,1,0,1
MMP17,163,256,360,179,395,213,178,249,142,121,76,28
AC131009.2,0,0,0,0,5,0,0,0,2,0,3,0
ULK1,1617,1939,2820,2254,3591,2281,2087,2471,1150,1272,611,482
AC131009.1,8,12,13,7,10,7,9,2,3,5,5,4
PUS1,1930,2452,3599,3338,4703,2693,2517,2773,1389,1678,648,544
AC131009.3,38,42,60,35,86,45,50,78,19,41,18,9
EP400,2910,2862,5692,4486,7636,4513,4622,5545,2911,2695,1813,1133
AC137590.1,0,0,0,0,0,0,0,0,0,0,0,0
AC137590.2,1,0,4,0,0,0,0,4,1,0,0,0
DDX51,1824,2252,3479,2724,4044,2529,2446,2852,1456,1692,870,596
NOC4L,1299,1594,2500,2116,3281,1824,1827,2125,1004,1474,596,476
AC138466.3,0,0,0,0,0,0,0,2,0,0,0,0
LINC02361,56,85,123,67,103,78,76,143,54,73,13,18
AC138466.1,6,18,18,4,12,21,9,18,6,1,3,5
GALNT9,14,16,14,18,23,16,16,30,18,16,2,8
AC148477.3,27,36,49,58,97,51,46,53,21,40,14,12
AC148477.2,103,171,206,157,214,139,149,161,84,115,32,28
AC148477.4,0,0,2,0,0,0,0,0,0,0,0,0
AC148477.1,0,0,0,0,0,0,0,0,0,0,0,0
AC148477.10,0,0,0,0,0,0,0,0,0,0,0,0
AC148476.1,0,0,0,0,0,0,0,0,0,0,0,0
AC079031.1,0,0,0,0,1,0,0,0,0,0,0,0
AC079031.2,0,0,0,0,0,0,0,0,0,0,0,0
FBRSL1,3570,4346,6890,6286,9403,5386,5081,5789,2976,3728,1769,1217
AC131212.1,2,7,11,4,13,12,14,15,15,3,0,3
LRCOL1,0,0,2,0,0,0,2,1,0,0,0,0
P2RX2,65,113,105,76,113,78,72,137,73,79,21,26
POLE,6182,7139,12128,8807,14362,8813,8400,9559,4866,4938,2815,2056
PXMP2,1118,1439,1897,1366,2099,1183,1114,1402,673,874,315,282
PGAM5,4820,5911,9991,7503,12027,6681,5994,6531,3043,3985,1934,1273
ANKLE2,3498,4219,6991,5622,8274,5204,5084,5780,3089,3370,1618,1182
GOLGA3,2201,2616,4195,3696,5093,3171,3430,3551,1722,1903,998,665
CHFR,759,766,1306,887,1390,903,834,1087,526,605,283,239
AC127070.1,1,2,3,1,3,4,0,10,2,2,0,0
AC127070.2,10,2,2,2,3,6,2,8,16,0,2,6
ZNF605,149,168,323,282,415,270,301,394,216,198,129,98
ZNF26,262,277,479,362,556,385,345,427,288,284,143,94
ZNF84-DT,2,0,0,0,0,1,0,1,0,0,0,0
ZNF84,500,601,1002,743,1087,845,766,1027,585,655,328,282
ZNF140,215,232,426,328,536,386,349,411,189,230,116,82
ZNF891,292,247,599,377,684,553,467,606,382,270,205,153
AC026786.2,0,4,3,0,0,1,0,5,3,0,4,0
ZNF10,107,124,292,180,343,258,178,220,114,131,51,44
ZNF268,416,434,854,768,1028,764,752,867,497,523,319,218
ANHX,0,0,0,0,0,0,0,0,0,0,0,0
FAM230C,0,0,0,0,0,2,0,0,0,0,0,0
LINC00349,0,0,0,0,0,0,0,0,0,0,0,0
LINC00388,0,0,0,0,0,0,0,0,0,0,0,0
LINC00387,0,0,0,0,0,0,0,0,0,0,0,0
LINC00408,0,0,0,0,0,0,0,0,0,0,0,0
AL355516.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00442,0,0,0,0,0,0,0,0,0,0,0,0
AL137001.1,0,0,0,0,0,0,0,0,0,0,0,0
AL137001.2,0,0,0,0,0,0,0,0,0,0,0,0
TUBA3C,0,0,0,0,0,0,0,0,0,0,0,0
AL139327.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC00421,0,0,0,0,0,0,0,0,0,0,0,0
AL356259.1,0,0,0,0,0,0,0,0,2,0,0,0
TPTE2,2,6,9,2,11,5,14,9,1,10,4,2
LINC00350,0,1,3,0,5,0,2,4,2,1,2,0
MPHOSPH8,1397,1492,2469,2128,3209,2143,2204,2872,1693,1739,936,727
PSPC1-AS2,3,0,8,3,9,6,7,3,3,1,4,0
PSPC1,1884,2538,3879,3552,5485,3384,3532,4629,2552,3286,1554,1203
ZMYM5,225,192,520,460,625,402,428,564,260,308,209,131
AL355001.1,0,0,0,0,3,2,1,0,1,0,2,0
AL355001.2,44,62,70,50,72,57,38,56,16,20,6,6
ZMYM2,2039,1888,4007,3086,4336,3127,3090,3525,2042,2017,1225,847
LINC01072,0,0,0,0,0,0,0,0,0,0,0,0
GJA3,286,256,690,452,648,444,398,488,226,276,136,84
LINC00556,0,0,0,0,0,0,0,0,0,0,0,0
GJB2,102,129,202,140,231,179,92,188,64,90,44,32
GJB6,0,0,0,0,0,0,0,0,0,0,0,0
CRYL1,214,312,359,177,381,236,175,331,133,188,81,83
AL590096.1,2,1,5,0,5,0,5,11,2,2,2,0
IFT88,278,254,590,420,601,361,401,529,321,389,222,167
AL161772.1,39,52,107,79,126,57,45,86,56,76,55,13
IL17D,81,77,132,123,175,119,98,126,35,52,37,27
EEF1AKMT1,237,309,545,413,707,395,399,562,297,437,169,139
AL512652.1,7,4,15,0,14,3,4,14,7,6,10,7
XPO4,1716,1412,3924,2983,4394,2894,2621,2472,1406,1370,829,549
LATS2,392,436,691,555,970,531,614,651,420,356,209,175
LATS2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
SAP18,2699,3268,5700,4936,8054,4828,4651,6218,2997,4411,1963,1454
SKA3,989,954,2077,1956,2793,1637,1847,2479,1209,1574,918,623
MRPL57,1386,1666,2481,2040,3258,1764,1712,2448,1220,1746,776,538
LINC01046,0,0,1,0,0,2,0,0,1,4,0,0
LINC00539,22,13,31,18,27,28,15,23,16,15,10,4
ZDHHC20,1861,1348,4234,3218,5058,2987,3268,3429,2035,2097,1351,941
ZDHHC20-IT1,0,0,5,2,3,0,4,2,0,6,0,0
MICU2,1325,1159,2445,2164,3109,2067,2230,2907,1606,1823,830,734
FGF9,142,126,309,191,310,213,180,282,207,193,99,65
LINC00424,0,0,0,0,0,0,0,0,0,0,0,0
AL136962.1,0,0,0,0,2,2,0,0,2,0,0,0
AL512484.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00621,69,91,124,106,153,88,121,128,51,80,36,13
AL157931.1,4,3,10,4,8,12,9,17,1,3,1,2
AL157931.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC00362,0,0,0,0,0,0,0,0,0,0,0,0
SGCG,2,0,0,3,4,4,0,0,6,0,2,2
SACS,2531,2345,6429,5316,7314,4942,4318,4331,3159,2844,1660,1168
SACS-AS1,0,2,8,3,4,6,6,4,0,0,0,0
LINC00327,4,1,12,0,4,0,6,10,8,5,2,0
LINC00352,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF19,282,192,439,342,488,307,258,295,150,183,56,72
MIPEP,908,1166,1752,1354,2209,1223,1072,1491,723,881,396,366
PCOTH,1,1,1,3,6,2,1,9,4,3,0,3
C1QTNF9B,2,3,6,2,3,0,3,7,6,3,1,0
AL445985.2,0,0,0,2,2,0,0,2,0,0,0,0
SPATA13,349,354,799,614,883,571,546,732,349,394,243,120
AL445985.1,0,0,0,0,0,6,4,0,0,2,0,0
SPATA13-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C1QTNF9,1,0,1,2,3,0,5,0,2,0,2,0
C1QTNF9-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00566,0,0,0,0,0,0,0,0,0,0,0,0
PARP4,1370,1385,2458,2016,3058,1966,2073,2281,1242,1136,730,488
AL359538.4,0,0,2,4,1,0,2,0,0,0,0,0
AL359538.3,0,3,4,3,3,2,1,3,2,2,0,0
ATP12A,14,16,32,33,34,10,22,16,8,30,8,4
AL391560.1,0,0,0,0,0,0,0,0,0,0,0,0
AL391560.2,0,2,0,0,0,0,0,0,0,0,0,0
RNF17,2,0,0,0,1,0,2,3,0,0,1,0
CENPJ,1044,1270,2192,2112,2741,1904,1998,2806,1555,1636,1020,774
PABPC3,26,34,44,38,45,20,40,64,30,44,10,32
AMER2,6,7,38,16,33,26,5,25,12,24,4,4
LINC01053,0,0,0,0,0,0,0,0,0,0,0,0
LINC00463,0,0,0,0,0,0,0,0,0,0,0,0
LINC01076,0,0,0,0,0,0,0,0,0,0,0,0
MTMR6,876,718,1898,1364,2122,1293,1368,1474,819,855,574,392
AL590787.1,6,6,3,14,15,12,13,16,2,1,8,2
NUP58,2429,2179,5412,4140,5962,3906,4042,4423,2435,2486,1512,1019
ATP8A2,44,36,62,39,57,46,79,64,38,36,7,12
SHISA2,388,307,710,578,842,610,501,585,301,378,179,150
LINC00415,0,2,4,0,0,1,2,0,0,0,0,0
RNF6,761,841,1880,1620,2038,1479,1660,1929,1073,1023,646,411
AL138966.2,5,6,6,6,4,10,7,6,5,11,4,2
CDK8,904,911,1847,1604,2435,1471,1460,1994,964,1221,632,495
AL353789.1,0,0,0,0,0,0,0,0,0,0,0,0
WASF3,524,611,1272,1165,1812,1102,1045,1254,771,826,500,368
WASF3-AS1,0,2,2,0,0,0,0,2,2,0,1,0
AL159978.1,2,0,4,1,0,0,1,1,1,1,0,0
GPR12,20,8,16,2,32,12,8,4,10,12,2,6
AL160035.1,0,0,0,0,0,0,0,0,0,1,2,0
USP12,1160,1176,2623,2018,2959,1858,2031,2480,1262,1304,775,589
USP12-AS1,0,0,0,1,0,0,0,2,0,0,0,0
USP12-AS2,1,0,0,1,1,3,0,1,0,0,2,0
LINC02340,13,11,37,15,29,23,21,23,9,5,7,4
LINC00412,4,6,23,4,18,9,12,23,9,23,4,5
RPL21,9024,11539,16244,12580,18808,11814,10439,15698,6835,9430,3966,3328
RASL11A,289,383,612,465,783,413,381,556,210,359,119,89
LINC01079,0,0,0,2,3,0,3,0,0,0,0,0
GTF3A,3148,3641,6185,4903,8090,4675,4882,6388,3113,4242,2069,1588
MTIF3,839,981,1557,1367,2177,1335,1491,2199,1041,1442,694,536
LNX2,588,505,1435,1107,1842,1091,998,1161,655,768,403,287
POLR1D,3612,4204,6771,5232,8490,5502,5173,7423,3658,4619,2223,1714
AL136439.1,0,0,0,0,0,0,2,0,1,0,0,2
GSX1,2,0,0,0,0,1,0,2,0,0,0,0
PLUT,0,2,0,0,0,0,0,2,0,0,0,0
PDX1,100,104,204,157,192,184,152,215,91,160,96,42
LINC00543,4,0,4,2,0,2,2,5,0,0,0,0
CDX2,1180,1466,2283,1812,3018,1735,1742,2459,1147,1381,650,510
URAD,15,12,14,8,26,8,9,4,12,24,1,2
FLT3,10,34,53,20,27,23,24,50,30,12,10,10
PAN3-AS1,36,56,89,52,101,75,54,82,51,58,31,36
PAN3,1162,1032,2458,2061,2720,1973,1790,1781,1012,1252,622,517
FLT1,390,328,705,491,872,558,533,804,425,394,255,187
POMP,3248,3299,5772,4830,6940,3970,3651,4306,1975,2751,1105,991
SLC46A3,278,260,588,386,628,518,373,583,294,268,188,124
MTUS2,22,15,32,38,71,28,41,28,18,14,6,9
MTUS2-AS2,0,0,2,0,0,0,0,0,0,0,0,0
MTUS2-AS1,8,1,2,6,8,9,3,10,3,0,2,1
SLC7A1,6410,6347,12384,9303,15238,10558,9340,11286,5886,6609,3738,2906
UBL3,799,780,2117,1719,2581,1799,1663,1719,925,1051,641,363
LINC00297,0,0,0,0,0,0,0,0,0,0,0,0
LINC00572,0,0,0,0,0,0,0,0,0,0,0,0
LINC00544,0,0,0,0,0,0,0,0,0,0,0,0
AL354674.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00365,0,0,2,0,0,0,0,0,2,0,2,0
LINC00384,0,0,2,0,0,0,0,0,0,0,0,1
LINC00385,0,0,0,0,0,0,0,0,0,0,0,0
KATNAL1,537,462,1078,807,1302,907,949,1131,710,664,364,262
LINC00427,0,0,2,0,2,5,1,1,2,0,0,0
LINC00426,0,0,0,0,0,2,2,4,6,0,0,2
AL161893.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01058,4,0,0,3,6,0,4,2,0,1,0,2
UBE2L5,6,0,16,17,30,26,33,32,30,39,20,14
HMGB1,11088,11349,24719,22187,32150,20313,20247,26242,13312,16240,8998,6334
AL353648.1,0,2,0,1,0,0,0,2,0,0,2,0
USPL1,1137,1082,2384,1965,2988,1695,1589,1902,1105,1361,682,507
ALOX5AP,0,4,4,0,0,0,0,0,0,0,0,0
LINC00398,0,0,0,0,0,0,0,0,0,0,0,0
LINC00545,0,0,0,0,0,0,0,0,0,0,0,0
TEX26-AS1,0,0,0,0,0,0,0,0,0,0,0,0
MEDAG,0,0,0,0,0,0,0,0,0,0,0,0
TEX26,0,0,0,0,0,0,0,0,0,0,0,0
AL353680.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01066,0,0,0,0,0,0,0,0,0,0,0,0
AL158065.1,0,0,0,0,0,0,0,0,0,0,0,0
HSPH1,8502,9353,17401,18220,25489,15471,14136,16727,8616,11374,6360,4378
B3GLCT,809,806,1531,1303,1853,1196,1095,1280,645,826,379,272
AL161616.2,0,0,0,0,0,0,0,0,0,0,0,0
RXFP2,0,0,0,0,0,0,0,0,0,0,0,0
AL138708.1,0,0,0,0,0,0,0,0,0,0,0,0
FRY,174,162,254,168,308,247,195,273,137,105,72,85
FRY-AS1,0,0,0,0,0,0,0,0,0,0,2,0
ZAR1L,1,1,4,7,6,3,2,9,2,7,2,0
BRCA2,1061,824,2247,1758,2764,1952,1856,1677,1176,1098,750,532
N4BP2L1,37,87,96,81,117,69,109,133,77,64,36,11
N4BP2L2,2490,2339,4878,3828,5410,4146,4003,5021,2813,2995,1740,1348
N4BP2L2-IT2,99,79,173,157,224,176,188,167,143,152,54,62
PDS5B,1774,1679,3626,3083,4402,3071,3230,3952,2399,2458,1540,1124
AL138820.1,10,6,14,13,28,6,18,9,6,8,4,6
LINC00423,0,0,0,0,0,0,0,0,0,0,0,0
KL,0,5,0,2,6,2,3,0,0,1,0,2
STARD13,326,366,645,432,792,445,379,420,284,293,151,134
STARD13-IT1,0,0,0,0,0,0,0,2,0,0,0,0
STARD13-AS,11,0,3,3,1,0,1,4,4,2,4,5
AL627232.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02344,0,0,1,0,1,6,0,1,0,0,0,0
AL138999.2,4,7,4,1,6,0,0,0,1,3,1,0
AL138999.1,0,4,2,1,4,4,2,0,0,0,2,0
AL139383.1,2,0,0,0,0,4,3,6,0,1,0,0
AL161719.1,0,0,0,0,0,0,0,0,0,0,0,0
AL139081.1,0,0,0,0,0,0,0,0,0,0,0,0
AL139081.2,0,0,0,0,0,0,0,0,0,0,0,0
RFC3,3659,3014,7350,6022,8359,5455,5088,5915,2891,3325,1666,1271
AL161891.1,300,246,641,584,778,581,586,640,424,469,218,150
LINC02343,0,0,0,0,0,0,0,0,0,0,0,0
LINC00457,0,1,0,0,0,0,0,0,0,0,0,0
AL161716.1,0,0,0,0,0,0,0,0,0,0,0,0
AL138690.1,0,4,0,4,0,8,2,2,0,2,0,0
NBEA,603,646,1265,992,1306,1053,871,936,755,528,362,261
MAB21L1,114,110,153,140,212,120,133,210,84,92,68,46
AL390071.1,0,2,0,0,0,0,0,0,2,0,0,0
LINC00445,0,0,0,0,0,0,0,0,0,0,0,0
DCLK1,167,151,357,207,390,244,247,327,143,194,81,43
SOHLH2,0,0,0,2,0,0,0,2,0,0,0,2
CCDC169,2,0,2,0,4,1,4,6,3,0,0,0
SPART,2698,3075,5795,4914,6992,4423,4562,5895,3147,3346,2008,1525
SPART-AS1,17,13,23,24,22,26,25,28,29,23,11,11
CCNA1,8,8,22,9,12,10,15,16,16,4,8,4
SERTM1,104,80,180,192,287,154,141,218,92,115,84,61
RFXAP,625,637,1384,1257,1856,1253,1197,1365,722,729,415,323
SMAD9,724,627,1388,914,1673,1208,1128,1372,731,796,405,329
SMAD9-IT1,13,2,11,13,5,15,17,7,6,3,7,4
ALG5,1106,1262,2150,1767,2584,1565,1711,2177,1084,1518,651,560
EXOSC8,1980,2245,3770,2870,4744,3359,3035,3553,1749,2311,911,759
SUPT20H,1674,1822,3605,3022,4553,2764,2978,3671,1985,2191,1323,1024
CSNK1A1L,0,0,4,0,0,0,4,6,1,0,0,0
LINC01048,0,0,0,0,0,0,0,0,0,0,0,0
LINC00547,0,0,0,0,0,0,0,0,0,0,0,0
POSTN,1,0,2,0,0,4,4,6,0,0,2,2
TRPC4,6,14,6,8,10,8,4,4,0,12,5,0
AL356495.1,0,0,0,0,4,0,0,0,0,0,0,0
LINC02334,2,0,0,10,4,4,2,0,4,0,4,2
LINC00571,1,3,4,6,5,10,3,5,2,3,0,2
UFM1,1581,1422,3623,2698,3872,2618,2990,3397,1937,2279,1017,810
LINC00437,0,0,0,0,0,0,0,0,0,0,0,0
LINC00366,0,0,0,0,0,1,0,0,0,0,0,0
FREM2,774,684,1775,1245,2169,1415,1234,1319,885,638,514,333
FREM2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
STOML3,0,0,0,0,0,0,3,0,0,0,0,0
PROSER1,3143,3253,6633,5795,9411,5408,6094,7883,4288,5041,3816,2094
NHLRC3,479,475,1003,710,971,744,781,852,442,455,219,182
AL354809.1,0,3,4,4,0,4,4,0,2,2,2,2
LHFPL6,396,454,996,744,1171,746,780,1031,521,618,392,280
COG6,986,1036,2087,1745,2271,1615,1592,1659,930,951,530,351
LINC00598,27,13,37,30,46,19,22,21,12,16,13,8
LINC00332,0,0,0,0,0,0,0,0,0,0,0,0
FOXO1,633,649,1433,1255,1965,1117,1191,1293,708,877,459,306
MRPS31,1100,1284,1966,2005,2748,1550,1824,2571,1411,1724,871,615
SLC25A15,1687,1804,3072,2149,3342,2049,2003,2104,1111,1209,603,364
AL590064.1,24,39,60,61,79,73,59,84,31,34,26,15
ELF1,733,777,1703,1295,2022,1290,1220,1523,787,924,576,366
WBP4,569,562,1061,940,1444,988,1031,1447,739,860,470,426
KBTBD6,1235,1030,2670,2278,3184,2089,1864,2170,1105,1259,634,467
AL354696.2,44,48,79,59,98,64,54,72,50,35,30,24
KBTBD7,368,289,857,574,1032,605,518,594,307,307,143,130
MTRF1,278,394,666,558,830,583,592,648,375,359,220,192
AL354696.1,4,4,16,18,27,12,14,9,18,13,7,2
NAA16,746,770,1682,1428,2025,1541,1541,1682,1009,980,547,466
RGCC,164,222,290,187,359,218,233,334,139,278,106,73
VWA8,1433,1306,2619,2196,3500,2223,2273,2539,1384,1421,914,586
VWA8-AS1,2,2,16,1,6,8,9,8,8,6,2,6
DGKH,612,534,1561,1419,1828,1452,1153,1214,960,795,415,258
AL157932.1,9,2,9,9,10,13,10,5,8,9,1,1
AKAP11,1703,1338,3658,2770,3654,2611,2572,2700,1817,1638,1030,636
LINC02341,4,2,0,2,2,0,0,3,2,0,0,0
TNFSF11,0,0,0,0,2,4,0,0,0,0,0,0
FAM216B,0,0,0,0,0,0,0,0,0,0,0,0
LINC01050,0,0,0,0,0,0,0,0,0,0,0,1
LINC00428,0,0,0,0,0,0,0,0,0,0,0,0
EPSTI1,31,38,65,56,66,43,47,58,32,34,18,22
DNAJC15,2,22,25,25,19,7,12,26,17,14,10,8
LINC00400,0,0,0,0,0,0,0,0,0,0,0,0
ENOX1,347,410,741,548,860,565,527,762,407,384,208,180
ENOX1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
ENOX1-AS1,0,0,2,0,2,2,0,0,0,0,0,0
AL161714.1,0,0,0,0,2,2,3,0,2,0,0,0
AL162713.2,3,2,7,2,2,2,4,8,2,0,6,0
AL162713.1,1,6,4,1,11,8,3,21,6,0,6,0
CCDC122,161,99,350,268,441,276,350,472,267,273,163,121
AL512506.1,9,3,0,7,1,5,5,5,0,5,0,0
LACC1,179,160,364,262,329,289,269,403,214,179,111,106
NRAD1,0,8,0,0,0,0,0,2,0,0,0,0
LINC00390,3,2,3,0,3,2,3,2,2,3,1,0
SMIM2-AS1,36,35,66,45,60,55,36,56,26,41,16,10
SMIM2,0,0,0,3,0,1,0,2,3,1,0,0
SMIM2-IT1,0,0,0,0,0,0,1,1,0,0,0,0
AL589745.2,0,0,0,0,0,0,0,0,0,0,0,0
AL589745.1,0,0,0,0,0,0,0,2,0,0,0,0
AL138960.1,11,11,10,8,23,19,12,21,11,15,7,2
SERP2,81,104,138,119,218,108,73,130,56,81,39,13
TUSC8,0,2,0,0,0,0,0,0,0,0,0,0
TSC22D1,1743,1867,3205,2569,4115,2773,2420,3069,1602,1797,995,737
TSC22D1-AS1,18,19,28,5,20,18,37,24,18,18,14,8
LINC00407,0,0,0,0,0,0,0,0,0,0,0,0
AL356515.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00330,0,0,0,0,0,0,0,1,0,0,0,0
NUFIP1,584,619,1112,1027,1655,922,1088,1237,661,923,480,279
AL359706.1,0,0,1,1,0,0,0,3,1,0,0,0
GPALPP1,1232,1198,2368,1945,3069,2081,2113,2788,1518,1677,1024,768
GTF2F2,1500,1786,3055,2482,3706,2434,2292,3142,1557,2029,1064,815
KCTD4,3,2,7,2,0,2,0,10,0,0,0,0
TPT1,20330,25018,41636,32559,52831,32356,33706,49790,23256,29529,15375,11207
AL138963.4,0,0,0,0,0,0,0,0,0,0,0,0
TPT1-AS1,460,508,838,682,1145,716,700,821,472,529,226,218
AL138963.1,4,3,1,0,0,4,0,1,1,0,0,2
SLC25A30,987,903,2002,1454,2102,1288,1373,1568,871,898,481,382
SLC25A30-AS1,4,3,9,3,5,3,3,7,6,1,2,0
COG3,1088,1016,2116,1625,2339,1457,1624,1865,1009,1053,621,461
ERICH6B,3,4,7,8,7,5,6,5,3,3,2,3
LINC01055,0,0,0,0,0,0,0,0,2,0,0,0
SPERT,2,4,2,0,4,4,2,6,0,2,0,0
SIAH3,0,0,0,0,0,0,0,0,0,0,0,0
ZC3H13,4186,4086,8178,7269,9884,7707,7868,10925,5988,5802,4604,3134
CPB2-AS1,45,69,109,62,131,134,80,121,70,74,46,40
CPB2,5,6,0,6,5,8,6,13,4,1,3,2
LCP1,32,27,38,20,55,36,46,42,24,33,8,13
LRRC63,18,22,30,26,36,35,26,32,18,21,6,5
AL139801.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00563,0,0,0,0,0,0,0,0,0,0,0,0
RUBCNL,146,174,279,205,330,236,190,198,128,113,46,42
LINC01198,0,0,0,0,2,0,0,0,0,0,0,0
AL138686.1,0,0,0,0,0,0,0,0,0,0,0,0
LRCH1,581,584,1278,906,1432,964,911,1049,605,679,461,233
AL359880.1,2,0,0,0,1,2,0,0,0,0,0,0
ESD,4337,4626,8133,6748,10520,6128,5980,8072,3874,5490,2690,1943
HTR2A,2,0,6,0,4,6,5,0,0,6,0,0
HTR2A-AS1,0,0,0,0,0,0,0,0,0,0,0,0
SUCLA2,1954,2033,3905,3325,4696,3325,2989,3536,1850,2111,1094,905
AL138962.1,0,3,1,2,2,0,2,2,0,1,0,0
LINC00562,11,12,27,24,22,28,32,34,20,10,10,8
AL157369.1,2,1,10,6,2,8,3,7,1,0,0,2
SUCLA2-AS1,16,17,34,18,41,16,33,29,5,7,6,7
NUDT15,1239,1312,2608,2563,3330,2194,2305,2687,1332,1543,798,654
AL158196.1,1,6,21,11,24,17,14,28,22,20,3,1
MED4,1157,1094,2302,1866,2872,1812,2275,2886,1351,1465,893,710
MED4-AS1,0,2,6,2,3,2,5,0,1,1,0,0
ITM2B,2717,2729,6391,4643,7796,4792,4901,5847,2972,3919,1854,1455
RB1-DT,6,10,8,3,1,11,12,18,10,6,2,1
RB1,1942,1445,4037,3371,5138,3083,3283,3694,2109,2181,1447,1065
AL392048.1,0,0,0,0,0,0,0,0,0,0,0,0
LPAR6,1,1,2,2,3,6,5,6,2,0,0,2
RCBTB2,114,103,220,223,273,165,175,203,79,92,50,48
AL157813.2,0,0,0,0,0,0,0,0,4,0,0,0
AL157813.1,0,4,7,6,2,9,4,2,0,4,0,2
LINC01077,0,0,0,0,0,0,0,0,0,0,0,0
LINC00462,0,0,0,0,0,4,0,0,0,0,0,0
CYSLTR2,0,0,0,0,0,0,0,0,0,0,0,0
AL161421.1,37,63,59,55,114,59,58,66,37,40,15,37
FNDC3A,2384,2045,5541,4121,6090,4145,3746,4010,2496,2200,1499,999
MLNR,3,7,19,6,10,3,14,14,17,1,4,0
CDADC1,312,360,684,507,760,549,552,750,362,445,149,157
CAB39L,140,151,277,177,265,186,186,187,117,165,52,56
SETDB2,421,489,768,641,981,688,583,887,466,513,323,197
PHF11,84,79,117,123,191,99,100,132,74,97,36,20
RCBTB1,1273,1066,2577,1792,2696,2100,1839,2018,1074,1206,612,555
ARL11,0,2,4,0,0,0,2,4,2,6,0,0
EBPL,1372,1608,2659,2318,3349,2115,1881,2507,1099,1630,731,573
KPNA3,2186,2083,4776,3994,6035,3565,4072,4648,2456,2847,1690,1107
AL136301.1,0,2,9,5,1,3,3,4,1,1,0,0
SPRYD7,622,650,1236,1116,1699,1084,1113,1338,696,940,413,359
DLEU2,329,340,1036,981,1390,830,921,1006,565,563,336,260
TRIM13,554,595,1040,907,1334,809,784,882,466,537,211,189
KCNRG,11,10,28,15,36,17,15,21,6,23,10,7
DLEU1,705,733,1411,1133,1908,1195,1161,1454,712,941,590,293
AL137060.3,18,23,36,22,26,26,23,18,9,26,4,4
AL158195.1,2,5,6,2,1,9,3,8,0,0,0,0
DLEU7,0,4,6,3,7,2,3,4,0,2,0,0
RNASEH2B-AS1,1,6,28,11,20,15,16,17,14,12,14,2
RNASEH2B,1406,1610,2891,2207,3570,2262,2347,2872,1413,1849,953,717
C13orf42,0,0,0,0,2,0,0,2,0,0,0,0
AL157817.1,0,0,0,0,0,0,0,0,0,0,0,0
FAM124A,139,146,341,267,479,251,291,283,171,182,107,80
SERPINE3,2,4,10,5,14,7,6,11,6,1,4,0
