Genes,293GFPnoIR1_S1,293GFPnoIR2_S2,293GFPnoIR3_S3,293HATertnoIR1_S4,293HATertnoIR2_S5,293HATertnoIR3_S6,293GFPIR1_S7,293GFPIR2_S8,293GFPIR3_S9,293HATertIR1_S10,293HATertIR2_S11,293HATertIR3_S12
USO1,4181,4249,8403,6715,9742,6712,6705,8610,4397,4726,2961,2197
AC110615.1,0,0,0,0,2,0,0,2,0,0,0,0
PPEF2,4,8,8,16,7,8,4,8,3,2,2,0
NAAA,331,330,649,477,702,425,426,523,287,275,144,136
SDAD1,2042,2202,4201,3792,5456,3588,3718,4865,2441,2914,1619,1281
AC112719.2,0,0,2,0,4,0,1,0,0,0,0,0
CXCL9,0,0,0,0,0,0,0,0,0,0,0,0
ART3,0,0,0,3,0,1,0,0,0,0,1,2
CXCL10,0,0,0,0,0,0,0,0,0,0,0,0
CXCL11,0,0,2,0,2,2,0,0,2,0,0,0
NUP54,2229,2220,4374,3627,5720,3473,3498,3955,1972,2473,1348,977
AC110795.1,5,4,3,3,8,0,1,5,1,2,2,2
SCARB2,1945,2050,4122,2958,4872,3308,3037,3916,1937,2198,1122,888
FAM47E,10,10,17,15,20,9,8,18,10,5,7,2
AC034139.1,0,0,0,1,10,1,0,2,0,2,0,0
STBD1,365,393,625,451,648,463,459,642,337,396,154,120
CCDC158,0,0,4,1,3,0,0,4,0,1,2,0
SHROOM3,561,615,1156,753,1397,828,799,960,449,530,272,152
AC107072.2,2,2,5,7,11,5,0,3,3,2,2,2
AC107072.1,0,0,0,0,1,0,0,0,0,0,0,0
SOWAHB,8,2,16,6,10,6,8,6,6,4,2,0
SEPTIN11,4711,4796,10616,8822,12858,8079,7927,9016,4971,5159,3061,2330
CCNI,6484,6382,13258,10369,16767,10426,9867,11711,6132,7789,3858,2791
CCNG2,891,961,1877,1405,2143,1553,1351,1678,940,1054,501,426
AC092674.1,0,0,0,0,0,0,0,0,0,0,0,0
CXCL13,0,0,0,0,2,1,0,2,0,2,0,0
CNOT6L,935,754,2228,1540,2398,1553,1598,1737,1008,958,528,428
MRPL1,1081,1162,1961,1845,2741,1689,1723,2305,1052,1406,716,627
FRAS1,1159,1241,2591,1684,2901,1910,1646,1979,1070,1130,638,490
ANXA3,74,78,105,62,162,60,109,124,71,90,49,34
LINC01094,2,0,0,0,0,0,0,0,0,0,0,0
AC112253.1,0,0,0,0,0,0,0,0,0,0,0,0
AC098818.2,2,0,0,0,6,4,0,4,0,0,2,0
