Gene,logFC,logCPM,F,PValue,FDR
OXLD1,-0.798705663444999,5.62996339941407,61.2559187952766,1.3164795166542e-07,4.72351155466016e-05
CDIPT,-0.683314929902209,6.16392562105128,61.1144955446149,1.34050773878343e-07,4.72351155466016e-05
SLC2A8,-0.86539109697229,4.25782972459093,60.9017639372098,1.37763744976063e-07,4.75725764151342e-05
MT-ATP8,1.52030013390545,10.6331553308929,60.0689994800474,1.53389319460652e-07,5.06995044469667e-05
TBRG4,-0.666324763107552,6.72199174122213,60.0027089213782,1.54715024199811e-07,5.06995044469667e-05
HNRNPR,0.568886507509935,9.01477721903874,59.957403323884,1.556280398291e-07,5.06995044469667e-05
METRN,-1.05372692827268,4.456160013703,59.1245372233555,1.73520916810886e-07,5.54817064751252e-05
MPHOSPH10,0.678337487270854,6.43198693841084,58.5858159554843,1.8627875797574e-07,5.84779824583477e-05
ZNRD1,-0.706363747288989,4.67171250585772,58.2065913092277,1.95885825271583e-07,5.97080597871099e-05
MTRNR2L12,1.19899545353573,5.08622728394711,58.1594941041348,1.97113367767014e-07,5.97080597871099e-05
RPSA,-0.711722072283672,10.1263291298423,57.6632736423766,2.10598972075449e-07,6.14412457734635e-05
CCDC59,0.64357023253256,5.96663618135785,57.5795120397487,2.12974350391422e-07,6.14412457734635e-05
NUDT16L1,-0.734950920953386,4.18649060274901,57.5214514800167,2.1464805568726e-07,6.14412457734635e-05
WDR83OS,-0.893736133510737,5.08536987212164,57.4376039716221,2.17069152796321e-07,6.14412457734635e-05
NPDC1,-0.717407635808129,6.06619826547861,57.2153323400765,2.2364816992131e-07,6.22699956425806e-05
NCAPH2,-0.716238902945935,6.24071297516047,57.0091870344881,2.29949145949827e-07,6.22699956425806e-05
AP2S1,-0.77660269435223,6.88825865197804,56.9274098761768,2.32502180347051e-07,6.22699956425806e-05
COMMD4,-0.866566837918733,6.53626708652172,56.8665392959726,2.34423127346678e-07,6.22699956425806e-05
AKR1B1,-0.608239971489495,8.06329916602919,56.5843071532257,2.43559196064931e-07,6.37165618069258e-05
ACTR1B,-0.614874470815257,5.67997549852541,56.4004247449764,2.49723571846964e-07,6.4183122360186e-05
PAXX,-0.920968955318104,5.69754609944273,56.2791142947048,2.53883004213274e-07,6.4183122360186e-05
HES4,-0.835760722985642,7.13896528344854,56.180684457744,2.57311411444332e-07,6.4183122360186e-05
FCSK,-0.72176702139019,4.19146964826707,56.0988979585136,2.60211894197441e-07,6.4183122360186e-05
NDUFA4,-0.613900577785277,6.78873582060763,55.4951071177468,2.82664912188007e-07,6.87393292089877e-05
PAF1,0.569561104500897,7.05049635157172,54.7719734780603,3.12412880910619e-07,7.49183444694826e-05
CIR1,0.786615378854887,5.48446037836676,54.2381264255221,3.3657811869489e-07,7.89639114778627e-05
ASB13,-0.620571468805919,5.44437583908017,54.1990416471574,3.38429830265368e-07,7.89639114778627e-05
SYNGR3,-0.97828278837494,2.64560515706064,53.9307405337723,3.51519471315973e-07,8.09244692232212e-05
CHID1,-0.726283185525431,5.70159088564182,53.7693237128695,3.59498031543211e-07,8.10161225125579e-05
CLEC2D,0.981821355413759,4.01396107350135,53.7341124813867,3.61302063793986e-07,8.10161225125579e-05
BRAT1,-0.7993080558916,6.09636390188931,53.4088649241794,3.78282913213103e-07,8.26077789820425e-05
ZNF410,-0.67770125334369,4.50143322341355,53.3299319383568,3.82551444831401e-07,8.26077789820425e-05
CCDC22,-0.826996907130121,4.82366599367693,53.326109319455,3.82753522446624e-07,8.26077789820425e-05
MT-ND4L,1.23263050938785,10.2760446653679,53.0301183813691,3.99189664046666e-07,8.4224401805365e-05
TIGD5,-0.798878684384489,4.48515066061448,52.8998939841332,4.06684272603737e-07,8.4224401805365e-05
CORO7,-0.691457992747975,5.0249410498561,52.8506565778924,4.09543881731193e-07,8.4224401805365e-05
SLC25A3,-0.609941291632059,8.65067026650021,52.7811533833215,4.13622502917313e-07,8.4224401805365e-05
ATN1,0.603183297657243,7.37421355267667,52.7100243442503,4.17850483907418e-07,8.4224401805365e-05
ANAPC11,-0.815062168013245,6.0835696662138,52.6822953890765,4.19512252708293e-07,8.4224401805365e-05
KLHL26,-0.8602214317441,3.51316400962959,52.4111390129824,4.36200418064681e-07,8.59034478172785e-05
